id	product_type	google_product_category	link	title	description	image_link	price	condition	shipping_weight	upc	ean	jan	isbn	availability	brand	gtin	mpn	identifier_exists
412	Engineered Wood > By Brand > Furlong > Classique Range	Hardware > Building Materials > Flooring & Carpet	http://www.woodfloorshop.co/engineered-wood/by-brand/furlong/furlong-classique-oak-antique-uv-lac-18mm-floor.html	Furlong Classique Oak Antique UV lac 18mm floor	"Furlong Classique Oak Antique 18mm  wood floorwith a timeless, rugged, distressed appearance. T&GThickness:18mmWidth: 150mmLength:400mm -1200mm max.Finish:Brushed & UV LacqueredInstallationTongue and GrooveFurlong Engineered Flooring Classique RangeThe majesty and refinement of oak with a timeless, rugged, distressed appearance.    20 year residential guarantee    Glued as floating floor    Pre-finished with UV Lacquer    Tumbled edges    Random lengths    Distressed marks, open knots & cracks    Made to look like a reclaimed floor    Not recommended to be installed with an underfloor heating system    Length 400 - 1200mm    Width 150mm    Thickness 18mm    Pack Size 1.98m²    Pallet Size 54 packs = 106.92m²    Species Oak "	http://www.woodfloorshop.co/images/source/furlong/classique-antique-oak-p.500.jpg	49.19	new	0					in stock	Furlong Flooring		8793	TRUE
413	Engineered Wood > By Brand > Furlong > Emerald Range	Hardware > Building Materials > Flooring & Carpet	http://www.woodfloorshop.co/engineered-wood/by-brand/furlong/furlong-emerald-rustic-oak-148mm-lac-floor.html	Furlong Emerald 148mm Rustic Oak lac floor	"Furlong Rustic Oak Lacquered 14mm  wood floorbrings a sophisticated elegance, warmth, and a natural charm to your homeThickness:14mmWidth: 148mmLength:1860mmFinish: LacqueredInstallationTongue and GrooveFurlong Emerald  Engineered Hardwood flooring rangeHardwood flooring range that brings a sophisticated elegance, warmth and a natural charm to any home. :: Furlong 15 year residential guarantee ::  Glued as floating floor ::  Pre-finished with UV Oil or UV Lacquer ::  Micro bevelled on 4 sides ::  2 split planks per pack ::  Suitable for underfloor heating ::  Factory finish – no sanding and no mess ::  Quick and easy installation     ::  Length 1860mm ::  Width 148mm ::  Thickness 14mm ::  Pack Size 2.202m² ::  Pallet Size 48 packs = 106.69m² ::  Species Oak"	http://www.woodfloorshop.co/images/source/furlong/emerald-rustic-oak-lac-p.500.jpg	42.59	new	0					in stock	Furlong Flooring		11153	TRUE
414	Engineered Wood > By Brand > Furlong > Emerald Range	Hardware > Building Materials > Flooring & Carpet	http://www.woodfloorshop.co/engineered-wood/by-brand/furlong/emerald-range/furlong-emerald-148mm-rustic-oak-oiled-floor.html	Furlong Emerald Nutmeg 148mm Rustic Oak Oiled floor	"Furlong Nutmeg Rustic Oak Brushed and UV Oiled 14mm  wood floorbrings a sophisticated elegance, warmth, and a natural charm to your homeThickness:14mmWidth: 148mmLength:1860mmFinish: Brushed and UV OiledInstallationTongue and GrooveFurlong Emerald  Engineered Hardwood flooring rangeHardwood flooring range that brings a sophisticated elegance, warmth and a natural charm to any home. :: Furlong 15 year residential guarantee ::  Glued as floating floor ::  Pre-finished with UV Oil or UV Lacquer ::  Micro bevelled on 4 sides ::  2 split planks per pack ::  Suitable for underfloor heating ::  Factory finish – no sanding and no mess ::  Quick and easy installation     ::  Length 1860mm ::  Width 148mm ::  Thickness 14mm ::  Pack Size 2.202m² ::  Pallet Size 48 packs = 106.69m² ::  Species Oak"	http://www.woodfloorshop.co/images/source/furlong/emerald-nutmeg-oak-p.500.jpg	44.99	new	0					in stock	Furlong Flooring		11156	TRUE
415	Engineered Wood > By Brand > Furlong > Emerald Range	Hardware > Building Materials > Flooring & Carpet	http://www.woodfloorshop.co/engineered-wood/by-brand/furlong/emerald-range/furlong-emerald-148mm-oak-trend-lac-floor.html	Furlong Emerald 148mm Oak Trend lac floor	"Furlong Oak Trend Lacquered 14mm  wood floorbrings a sophisticated elegance, warmth, and a natural charm to your homeThickness:14mmWidth: 148mmLength:1860mmFinish: LacqueredInstallationTongue and GrooveFurlong Emerald  Engineered Hardwood flooring rangeHardwood flooring range that brings a sophisticated elegance, warmth and a natural charm to any home. :: Furlong 15 year residential guarantee ::  Glued as floating floor ::  Pre-finished with UV Oil or UV Lacquer ::  Micro bevelled on 4 sides ::  2 split planks per pack ::  Suitable for underfloor heating ::  Factory finish – no sanding and no mess ::  Quick and easy installation     ::  Length 1860mm ::  Width 148mm ::  Thickness 14mm ::  Pack Size 2.202m² ::  Pallet Size 48 packs = 106.69m² ::  Species Oak"	http://www.woodfloorshop.co/images/source/furlong/emerald-trend-oak-p.500.jpg	46.79	new	0					in stock	Furlong Flooring		11155	TRUE
416	Engineered Wood > By Brand > Furlong > Emerald Range	Hardware > Building Materials > Flooring & Carpet	http://www.woodfloorshop.co/engineered-wood/by-brand/furlong/emerald-range/furlong-emerald-148mm-rustic-oak-oiled-floor-p416.html	Furlong Emerald 148mm Rustic Oak Oiled floor	"Furlong Rustic Oak Brushed and UV Oiled 14mm  wood floorbrings a sophisticated elegance, warmth, and a natural charm to your homeThickness:14mmWidth: 148mmLength:1860mmFinish: Brushed and UV OiledInstallationTongue and GrooveFurlong Emerald  Engineered Hardwood flooring rangeHardwood flooring range that brings a sophisticated elegance, warmth and a natural charm to any home. :: Furlong 15 year residential guarantee ::  Glued as floating floor ::  Pre-finished with UV Oil or UV Lacquer ::  Micro bevelled on 4 sides ::  2 split planks per pack ::  Suitable for underfloor heating ::  Factory finish – no sanding and no mess ::  Quick and easy installation     ::  Length 1860mm ::  Width 148mm ::  Thickness 14mm ::  Pack Size 2.202m² ::  Pallet Size 48 packs = 106.69m² ::  Species Oak"	http://www.woodfloorshop.co/images/source/furlong/emerald-rustic-oak-lac-p.500.jpg	43.79	new	0					in stock	Furlong Flooring		11154	TRUE
417	Engineered Wood > By Brand > Furlong > Emerald Range	Hardware > Building Materials > Flooring & Carpet	http://www.woodfloorshop.co/engineered-wood/by-brand/furlong/emerald-range/furlong-emerald-scandic-white-148mm-rustic-oak-oiled-floor.html	Furlong Emerald Scandic White 148mm Rustic Oak Oiled floor	"Furlong Scandic White Rustic Oak Brushed and UV Oiled 14mm  wood floorbrings a sophisticated elegance, warmth, and a natural charm to your homeThickness:14mmWidth: 148mmLength:1860mmFinish: Brushed and UV OiledInstallationTongue and GrooveFurlong Emerald  Engineered Hardwood flooring rangeHardwood flooring range that brings a sophisticated elegance, warmth and a natural charm to any home. :: Furlong 15 year residential guarantee ::  Glued as floating floor ::  Pre-finished with UV Oil or UV Lacquer ::  Micro bevelled on 4 sides ::  2 split planks per pack ::  Suitable for underfloor heating ::  Factory finish – no sanding and no mess ::  Quick and easy installation     ::  Length 1860mm ::  Width 148mm ::  Thickness 14mm ::  Pack Size 2.202m² ::  Pallet Size 48 packs = 106.69m² ::  Species Oak"	http://www.woodfloorshop.co/images/source/furlong/classique-white-oak-p.500.jpg	44.99	new	0					in stock	Furlong Flooring		11158	TRUE
418	Engineered Wood > By Brand > Furlong > Emerald Range	Hardware > Building Materials > Flooring & Carpet	http://www.woodfloorshop.co/engineered-wood/by-brand/furlong/emerald-range/furlong-emerald-ivory-white-148mm-rustic-oak-oiled-floor.html	Furlong Emerald Ivory White 148mm Rustic Oak Oiled floor	"Furlong Ivory White Rustic Oak Brushed and UV Oiled 14mm  wood floorbrings a sophisticated elegance, warmth, and a natural charm to your homeThickness:14mmWidth: 148mmLength:1860mmFinish: Brushed and UV OiledInstallationTongue and GrooveFurlong Emerald  Engineered Hardwood flooring rangeHardwood flooring range that brings a sophisticated elegance, warmth and a natural charm to any home. :: Furlong 15 year residential guarantee ::  Glued as floating floor ::  Pre-finished with UV Oil or UV Lacquer ::  Micro bevelled on 4 sides ::  2 split planks per pack ::  Suitable for underfloor heating ::  Factory finish – no sanding and no mess ::  Quick and easy installation     ::  Length 1860mm ::  Width 148mm ::  Thickness 14mm ::  Pack Size 2.202m² ::  Pallet Size 48 packs = 106.69m² ::  Species Oak"	http://www.woodfloorshop.co/images/source/furlong/ivory-white-p.500.jpg	44.99	new	0					in stock	Furlong Flooring		11159	TRUE
419	Engineered Wood > By Brand > Furlong > Emerald Range	Hardware > Building Materials > Flooring & Carpet	http://www.woodfloorshop.co/engineered-wood/by-brand/furlong/emerald-range/furlong-emerald-smoked-148mm-rustic-oak-oiled-floor.html	Furlong Emerald Smoked 148mm Rustic Oak Oiled floor	"Furlong Smoked Rustic Oak Brushed and UV Oiled 14mm  wood floorbrings a sophisticated elegance, warmth, and a natural charm to your homeThickness:14mmWidth: 148mmLength:1860mmFinish: Brushed and UV OiledInstallationTongue and GrooveFurlong Emerald  Engineered Hardwood flooring rangeHardwood flooring range that brings a sophisticated elegance, warmth and a natural charm to any home. :: Furlong 15 year residential guarantee ::  Glued as floating floor ::  Pre-finished with UV Oil or UV Lacquer ::  Micro bevelled on 4 sides ::  2 split planks per pack ::  Suitable for underfloor heating ::  Factory finish – no sanding and no mess ::  Quick and easy installation     ::  Length 1860mm ::  Width 148mm ::  Thickness 14mm ::  Pack Size 2.202m² ::  Pallet Size 48 packs = 106.69m² ::  Species Oak"	http://www.woodfloorshop.co/images/source/furlong/emerald-smoked-oak-p.500.jpg	44.99	new	0					in stock	Furlong Flooring		11157	TRUE
420	Engineered Wood > By Brand > Furlong > Emerald Range	Hardware > Building Materials > Flooring & Carpet	http://www.woodfloorshop.co/engineered-wood/by-brand/furlong/emerald-range/furlong-emerald-silver-grey-148mm-rustic-oak-oiled-floor.html	Furlong Emerald Silver Grey 148mm Rustic Oak Oiled floor	"Furlong Silver Grey Rustic Oak Brushed and UV Oiled 14mm  wood floorbrings a sophisticated elegance, warmth, and a natural charm to your homeThickness:14mmWidth: 148mmLength:1860mmFinish: Brushed and UV OiledInstallationTongue and GrooveFurlong Emerald  Engineered Hardwood flooring rangeHardwood flooring range that brings a sophisticated elegance, warmth and a natural charm to any home. :: Furlong 15 year residential guarantee ::  Glued as floating floor ::  Pre-finished with UV Oil or UV Lacquer ::  Micro bevelled on 4 sides ::  2 split planks per pack ::  Suitable for underfloor heating ::  Factory finish – no sanding and no mess ::  Quick and easy installation     ::  Length 1860mm ::  Width 148mm ::  Thickness 14mm ::  Pack Size 2.202m² ::  Pallet Size 48 packs = 106.69m² ::  Species Oak"	http://www.woodfloorshop.co/images/source/furlong/silver-grey-oak.500.jpg	44.99	new	0					in stock	Furlong Flooring		11160	TRUE
421	Engineered Wood > By Brand > Furlong > Emerald Range	Hardware > Building Materials > Flooring & Carpet	http://www.woodfloorshop.co/engineered-wood/by-brand/furlong/emerald-range/furlong-emerald-189mm-rustic-oak-lac-floor.html	Furlong Emerald 189mm Rustic Oak lac floor	"Furlong Rustic Oak Lacquered 14mm  wood floorbrings a sophisticated elegance, warmth, and a natural charm to your homeThickness:14mmWidth: 189mmLength:1860mmFinish: LacqueredInstallationTongue and GrooveFurlong Emerald  Engineered Hardwood flooring rangeHardwood flooring range that brings a sophisticated elegance, warmth and a natural charm to any home. :: Furlong 15 year residential guarantee ::  Glued as floating floor ::  Pre-finished with UV Oil or UV Lacquer ::  Micro bevelled on 4 sides ::  2 split planks per pack ::  Suitable for underfloor heating ::  Factory finish – no sanding and no mess ::  Quick and easy installation     ::  Length 1860mm ::  Width 189mm ::  Thickness 14mm ::  Pack Size 2.812m² ::  Pallet Size 40 packs = 112.48m² ::  Species Oak"	http://www.woodfloorshop.co/images/source/furlong/emerald-rustic-oak-lac-p.500.jpg	43.19	new	0					in stock	Furlong Flooring		11161	TRUE
